x,y,F1,F2
    0.9700840484E+00,    0.4233189477E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4373632161E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4518143681E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4666858475E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4819914896E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4977455332E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5139626346E-04,    0.1000000000E+01,    0.9999999999E+00
    0.9700840484E+00,    0.5306578807E-04,    0.1000000000E+01,    0.9999999998E+00
    0.9700840484E+00,    0.5478468032E-04,    0.1000000000E+01,    0.9999999996E+00
    0.9700840484E+00,    0.5655453931E-04,    0.1000000000E+01,    0.9999999989E+00
    0.9700840484E+00,    0.5837701157E-04,    0.1000000000E+01,    0.9999999972E+00
    0.9700840484E+00,    0.6025379256E-04,    0.1000000000E+01,    0.9999999934E+00
    0.9700840484E+00,    0.6218662827E-04,    0.1000000000E+01,    0.9999999849E+00
    0.9700840484E+00,    0.6417731683E-04,    0.1000000000E+01,    0.9999999670E+00
    0.9700840484E+00,    0.6622771021E-04,    0.1000000000E+01,    0.9999999302E+00
    0.9700840484E+00,    0.6833971589E-04,    0.1000000000E+01,    0.9999998571E+00
    0.9700840484E+00,    0.7051529871E-04,    0.1000000000E+01,    0.9999997164E+00
    0.9700840484E+00,    0.7275648264E-04,    0.1000000000E+01,    0.9999994536E+00
    0.9700840484E+00,    0.7506535266E-04,    0.1000000000E+01,    0.9999989765E+00
    0.9700840484E+00,    0.7744405674E-04,    0.1000000000E+01,    0.9999981331E+00
    0.9700840484E+00,    0.7989480782E-04,    0.1000000000E+01,    0.9999966788E+00
    0.9700840484E+00,    0.8241988585E-04,    0.1000000000E+01,    0.9999964620E+00
    0.9700840484E+00,    0.8502163994E-04,    0.1000000000E+01,    0.9999977028E+00
    0.9700840484E+00,    0.8770249053E-04,    0.1000000000E+01,    0.9999985791E+00
    0.9700840484E+00,    0.9046493164E-04,    0.1000000000E+01,    0.9999991235E+00
    0.9700840484E+00,    0.9331153320E-04,    0.1000000000E+01,    0.9999994604E+00
    0.9700840484E+00,    0.9624494343E-04,    0.1000000000E+01,    0.9999996683E+00
    0.9700840484E+00,    0.9926789131E-04,    0.1000000000E+01,    0.9999997962E+00
    0.9700840484E+00,    0.1023831891E-03,    0.1000000000E+01,    0.9999998747E+00
    0.9700840484E+00,    0.1055937351E-03,    0.1000000000E+01,    0.9999999229E+00
    0.9700840484E+00,    0.1089025159E-03,    0.1000000000E+01,    0.9999999525E+00
    0.9700840484E+00,    0.1123126099E-03,    0.1000000000E+01,    0.9999999706E+00
    0.9700840484E+00,    0.1158271895E-03,    0.1000000000E+01,    0.9999999818E+00
    0.9700840484E+00,    0.1194495242E-03,    0.1000000000E+01,    0.9999999888E+00
    0.9700840484E+00,    0.1231829841E-03,    0.1000000000E+01,    0.9999999930E+00
    0.9700840484E+00,    0.1270310424E-03,    0.9999999999E+00,    0.9999999957E+00
    0.9700840484E+00,    0.1309972789E-03,    0.9999999990E+00,    0.9999999973E+00
    0.9700840484E+00,    0.1350853835E-03,    0.9999999939E+00,    0.9999999983E+00
    0.9700840484E+00,    0.1392991595E-03,    0.9999999660E+00,    0.9999999990E+00
    0.9700840484E+00,    0.1436425268E-03,    0.9999998361E+00,    0.9999999993E+00
    0.9700840484E+00,    0.1481195263E-03,    0.9999997403E+00,    0.9999999996E+00
    0.9700840484E+00,    0.1527343229E-03,    0.9999998105E+00,    0.9999999997E+00
    0.9700840484E+00,    0.1574912098E-03,    0.9999999016E+00,    0.9999999998E+00
    0.9700840484E+00,    0.1623946124E-03,    0.9999999493E+00,    0.9999999999E+00
    0.9700840484E+00,    0.1674490923E-03,    0.9999999740E+00,    0.9999999999E+00
    0.9700840484E+00,    0.1726593518E-03,    0.9999999868E+00,    0.1000000000E+01
    0.9700840484E+00,    0.1780302381E-03,    0.9999999933E+00,    0.1000000000E+01
    0.9700840484E+00,    0.1835667477E-03,    0.9999999966E+00,    0.1000000000E+01
    0.9700840484E+00,    0.1892740313E-03,    0.9999999983E+00,    0.1000000000E+01
    0.9700840484E+00,    0.1951573985E-03,    0.9999999992E+00,    0.1000000000E+01
    0.9700840484E+00,    0.2012223227E-03,    0.9999999996E+00,    0.1000000000E+01
