x,y,sdr,tke
    0.9700840484E+00,    0.2142974175E-01,    0.6924702075E-07,    0.4955383694E-09
    0.9700840484E+00,    0.2209341436E-01,    0.6924707838E-07,    0.4955388186E-09
    0.9700840484E+00,    0.2277764071E-01,    0.6924713777E-07,    0.4955392811E-09
    0.9700840484E+00,    0.2348305733E-01,    0.6924719897E-07,    0.4955397572E-09
    0.9700840484E+00,    0.2421032048E-01,    0.6924726201E-07,    0.4955402476E-09
    0.9700840484E+00,    0.2496010673E-01,    0.6924732695E-07,    0.4955407525E-09
    0.9700840484E+00,    0.2573311363E-01,    0.6924739383E-07,    0.4955412724E-09
    0.9700840484E+00,    0.2653006030E-01,    0.6924746273E-07,    0.4955418077E-09
    0.9700840484E+00,    0.2735168816E-01,    0.6924753368E-07,    0.4955423589E-09
    0.9700840484E+00,    0.2819876157E-01,    0.6924760675E-07,    0.4955429265E-09
    0.9700840484E+00,    0.2907206858E-01,    0.6924768200E-07,    0.4955435110E-09
    0.9700840484E+00,    0.2997242163E-01,    0.6924775948E-07,    0.4955441128E-09
    0.9700840484E+00,    0.3090065833E-01,    0.6924783928E-07,    0.4955447324E-09
    0.9700840484E+00,    0.3185764223E-01,    0.6924792144E-07,    0.4955453703E-09
    0.9700840484E+00,    0.3284426362E-01,    0.6924800604E-07,    0.4955460271E-09
    0.9700840484E+00,    0.3386144036E-01,    0.6924809315E-07,    0.4955467034E-09
    0.9700840484E+00,    0.3491011874E-01,    0.6924818283E-07,    0.4955473996E-09
    0.9700840484E+00,    0.3599127436E-01,    0.6924827517E-07,    0.4955481163E-09
    0.9700840484E+00,    0.3710591303E-01,    0.6924837024E-07,    0.4955488542E-09
    0.9700840484E+00,    0.3825507171E-01,    0.6924846812E-07,    0.4955496138E-09
    0.9700840484E+00,    0.3943981948E-01,    0.6924856888E-07,    0.4955503958E-09
    0.9700840484E+00,    0.4066125851E-01,    0.6924867260E-07,    0.4955512007E-09
    0.9700840484E+00,    0.4192052512E-01,    0.6924877938E-07,    0.4955520293E-09
    0.9700840484E+00,    0.4321879083E-01,    0.6924888930E-07,    0.4955528821E-09
    0.9700840484E+00,    0.4455726341E-01,    0.6924900244E-07,    0.4955537599E-09
    0.9700840484E+00,    0.4593718808E-01,    0.6924911890E-07,    0.4955546634E-09
    0.9700840484E+00,    0.4735984857E-01,    0.6924923876E-07,    0.4955555932E-09
