# u+ vs. y+ at Re-theta = 10000, from Coles velocity law
# along with van Driest damping near wall
# (see Bardina et al, NASA TM 110446, April 1997)
yp,up
0.4340177326038086E+02,   0.1406877316349418E+02
0.4350177734623428E+02,   0.1407531775986764E+02
0.4360178143208768E+02,   0.1408184260087371E+02
0.4370178551794110E+02,   0.1408834780287324E+02
0.4380178960379451E+02,   0.1409483348126303E+02
0.4390179368964792E+02,   0.1410129975048578E+02
0.4400179777550134E+02,   0.1410774672404031E+02
0.4410180186135474E+02,   0.1411417451449099E+02
0.4420180594720816E+02,   0.1412058323347787E+02
0.4430181003306157E+02,   0.1412697299172608E+02
0.4440181411891498E+02,   0.1413334389905549E+02
0.4450181820476840E+02,   0.1413969606438979E+02
0.4460182229062180E+02,   0.1414602959576602E+02
0.4470182637647522E+02,   0.1415234460034360E+02
0.4480183046232863E+02,   0.1415864118441334E+02
0.4490183454818204E+02,   0.1416491945340645E+02
0.4500183863403546E+02,   0.1417117951190317E+02
0.4510184271988886E+02,   0.1417742146364163E+02
0.4520184680574228E+02,   0.1418364541152593E+02
0.4530185089159569E+02,   0.1418985145763549E+02
0.4540185497744910E+02,   0.1419603970323338E+02
0.4550185906330252E+02,   0.1420221024877381E+02
0.4560186314915593E+02,   0.1420836319391072E+02
0.4570186723500934E+02,   0.1421449863750595E+02
0.4580187132086275E+02,   0.1422061667763698E+02
0.4590187540671617E+02,   0.1422671741160499E+02
0.4600187949256958E+02,   0.1423280093594265E+02
0.4610188357842299E+02,   0.1423886734642174E+02
0.4620188766427640E+02,   0.1424491673806080E+02
0.4630189175012981E+02,   0.1425094920513254E+02
0.4640189583598323E+02,   0.1425696484117150E+02
0.4650189992183664E+02,   0.1426296373898098E+02
0.4660190400769005E+02,   0.1426894599064073E+02
0.4670190809354346E+02,   0.1427491168751385E+02
0.4680191217939687E+02,   0.1428086092025377E+02
0.4690191626525029E+02,   0.1428679377881151E+02
0.4700192035110370E+02,   0.1429271035244244E+02
0.4710192443695711E+02,   0.1429861072971298E+02
0.4720192852281053E+02,   0.1430449499850757E+02
0.4730193260866393E+02,   0.1431036324603510E+02
0.4740193669451735E+02,   0.1431621555883587E+02
0.4750194078037076E+02,   0.1432205202278760E+02
0.4760194486622417E+02,   0.1432787272311225E+02
0.4770194895207759E+02,   0.1433367774438189E+02
0.4780195303793099E+02,   0.1433946717052552E+02
0.4790195712378441E+02,   0.1434524108483551E+02
0.4800196120963782E+02,   0.1435099956997301E+02
0.4810196529549123E+02,   0.1435674270797420E+02
0.4820196938134465E+02,   0.1436247058025647E+02
0.4830197346719805E+02,   0.1436818326762432E+02
0.4840197755305147E+02,   0.1437388085027499E+02
0.4850198163890488E+02,   0.1437956340780469E+02
0.4860198572475829E+02,   0.1438523101921366E+02
0.4870198981061171E+02,   0.1439088376291267E+02
0.4880199389646511E+02,   0.1439652171672786E+02
0.4890199798231853E+02,   0.1440214495790668E+02
0.4900200206817194E+02,   0.1440775356312329E+02
0.4910200615402535E+02,   0.1441334760848378E+02
0.4920201023987877E+02,   0.1441892716953176E+02
0.4930201432573218E+02,   0.1442449232125348E+02
0.4940201841158559E+02,   0.1443004313808319E+02
0.4950202249743900E+02,   0.1443557969390816E+02
0.4960202658329241E+02,   0.1444110206207380E+02
0.4970203066914583E+02,   0.1444661031538884E+02
0.4980203475499924E+02,   0.1445210452613021E+02
0.4990203884085265E+02,   0.1445758476604792E+02
0.5000204292670606E+02,   0.1446305110637009E+02
0.5010204701255947E+02,   0.1446850361780762E+02
0.5020205109841289E+02,   0.1447394237055898E+02
0.5030205518426630E+02,   0.1447936743431480E+02
0.5040205927011971E+02,   0.1448477887826350E+02
0.5050206335597312E+02,   0.1449017677109452E+02
0.5060206744182653E+02,   0.1449556118100375E+02
0.5070207152767995E+02,   0.1450093217569751E+02
0.5080207561353336E+02,   0.1450628982239745E+02
0.5090207969938677E+02,   0.1451163418784473E+02
0.5100208378524018E+02,   0.1451696533830454E+02
0.5110208787109359E+02,   0.1452228333957015E+02
0.5120209195694701E+02,   0.1452758825696766E+02
0.5130209604280042E+02,   0.1453288015535964E+02
0.5140210012865384E+02,   0.1453815909914957E+02
0.5150210421450724E+02,   0.1454342515228635E+02
0.5160210830036065E+02,   0.1454867837826762E+02
0.5170211238621407E+02,   0.1455391884014436E+02
0.5180211647206748E+02,   0.1455914660052483E+02
0.5190212055792090E+02,   0.1456436172157836E+02
0.5200212464377430E+02,   0.1456956426503930E+02
0.5210212872962772E+02,   0.1457475429221099E+02
0.5220213281548113E+02,   0.1457993186396960E+02
0.5230213690133454E+02,   0.1458509704076769E+02
0.5240214098718796E+02,   0.1459024988263820E+02
0.5250214507304136E+02,   0.1459539044919808E+02
0.5260214915889478E+02,   0.1460051879965193E+02
0.5270215324474819E+02,   0.1460563499279565E+02
0.5280215733060160E+02,   0.1461073908701965E+02
0.5290216141645502E+02,   0.1461583114031368E+02
0.5300216550230843E+02,   0.1462091121026891E+02
0.5310216958816184E+02,   0.1462597935408198E+02
0.5320217367401525E+02,   0.1463103562855847E+02
0.5330217775986866E+02,   0.1463608009011623E+02
0.5340218184572208E+02,   0.1464111279478867E+02
0.5350218593157549E+02,   0.1464613379822845E+02
0.5360219001742890E+02,   0.1465114315571016E+02
0.5370219410328231E+02,   0.1465614092213422E+02
0.5380219818913572E+02,   0.1466112715202968E+02
0.5390220227498914E+02,   0.1466610189955771E+02
0.5400220636084255E+02,   0.1467106521851443E+02
0.5410221044669596E+02,   0.1467601716233452E+02
0.5420221453254937E+02,   0.1468095778409377E+02
0.5430221861840278E+02,   0.1468588713651252E+02
0.5440222270425620E+02,   0.1469080527195865E+02
0.5450222679010961E+02,   0.1469571224245042E+02
0.5460223087596302E+02,   0.1470060809965954E+02
0.5470223496181643E+02,   0.1470549289491415E+02
0.5480223904766984E+02,   0.1471036667920172E+02
0.5490224313352326E+02,   0.1471522950317192E+02
0.5500224721937667E+02,   0.1472008141713943E+02
0.5510225130523008E+02,   0.1472492247108678E+02
0.5520225539108349E+02,   0.1472975271466708E+02
0.5530225947693690E+02,   0.1473457219720671E+02
0.5540226356279032E+02,   0.1473938096770881E+02
0.5550226764864373E+02,   0.1474417907485507E+02
0.5560227173449714E+02,   0.1474896656700873E+02
