x,y,sdr,tke
 9.701266289E-01, 9.551045485E-03, 4.626901386E-07, 7.695172826E-05
 9.701266289E-01, 9.846839122E-03, 4.523395774E-07, 7.100509538E-05
 9.701266289E-01, 1.015179232E-02, 4.412640351E-07, 6.487436622E-05
 9.701266289E-01, 1.046619099E-02, 4.299603518E-07, 5.873075497E-05
 9.701266289E-01, 1.079032570E-02, 4.188247260E-07, 5.268231325E-05
 9.701266289E-01, 1.112449914E-02, 4.079712710E-07, 4.668296242E-05
 9.701266289E-01, 1.146902237E-02, 3.971696003E-07, 4.059437924E-05
 9.701266289E-01, 1.182421483E-02, 3.859455546E-07, 3.434058453E-05
 9.701266289E-01, 1.219040714E-02, 3.736128065E-07, 2.792850137E-05
 9.701266289E-01, 1.256794017E-02, 3.589304356E-07, 2.140781726E-05
 9.701266289E-01, 1.295716595E-02, 3.392266024E-07, 1.491453168E-05
 9.701266289E-01, 1.335844584E-02, 3.077072961E-07, 8.787490515E-06
 9.701266289E-01, 1.377215330E-02, 2.484572690E-07, 3.830352853E-06
 9.701266289E-01, 1.419867296E-02, 1.580706623E-07, 1.037779384E-06
 9.701266289E-01, 1.463840157E-02, 9.017339409E-08, 1.573122290E-07
 9.701266289E-01, 1.509174798E-02, 7.150509163E-08, 1.525270044E-08
 9.701266289E-01, 1.555913500E-02, 6.942237718E-08, 1.629578472E-09
 9.701266289E-01, 1.604099758E-02, 6.925920815E-08, 5.772810008E-10
 9.701266289E-01, 1.653778180E-02, 6.924746287E-08, 5.011740467E-10
 9.701266289E-01, 1.704995334E-02, 6.924669549E-08, 4.959082589E-10
 9.701266289E-01, 1.757798530E-02, 6.924668838E-08, 4.955593713E-10
 9.701266289E-01, 1.812236942E-02, 6.924673812E-08, 4.955375554E-10
 9.701266289E-01, 1.868361421E-02, 6.924678075E-08, 4.955366117E-10
 9.701266289E-01, 1.926223934E-02, 6.924683760E-08, 4.955368893E-10
 9.701266289E-01, 1.985878497E-02, 6.924688734E-08, 4.955373334E-10
 9.701266289E-01, 2.047380619E-02, 6.924693707E-08, 4.955377220E-10
 9.701266289E-01, 2.110787295E-02, 6.924699392E-08, 4.955381105E-10
 9.701266289E-01, 2.176157758E-02, 6.924704365E-08, 4.955385546E-10
